Columns,MissRate,UniqueRate,ConstantRate,Max,Min,Mean,Median,Mode,ZeroNum,Mean-3sigma,Mean+3sigma,Mean-2sigma,Mean+2sigma,Q1-1.5IQR,Q3+1.5IQR,NormalCorr,LogNormalCorr,UniformCorr,ExpCorr
CST_NM,0.0004992204202857132,0.6469209314440132,0.0005788062843892327,,,,,吴萸,,,,,,,,,,,
CC_VLD_DT,0.0,0.0059436170328219335,0.25649438738781105,,,,,2013-11-29,,,,,,,,,,,
FST_INTRO_LVL_CD,0.29926455426489795,2.894031421946164e-05,0.4781265487590032,,,,,X,,,,,,,,,,,
SCD_INTRO_LVL_CD,0.9856419866078696,3.617539277432705e-06,0.014358013392130406,,,,,*,,,,,,,,,,,
FST_INTRO_EP_IP_ID,0.00016640680676190443,0.02870155662715108,0.004666625667888189,,,,,X330199999          ,,,,,,,,,,,
CR_CRD_AC_AR_ID,0.0,1.0,3.617539277432705e-06,,,,,CCAC4202030100001156            ,,,,,,,,,,,
SCD_INTRO_NM,0.9859784177606709,0.0035885989632132432,0.00020258219953623146,,,,,许玟蕴,,,,,,,,,,,
SCD_OD_AMT,0.0,0.008110523060004125,0.9896285148916004,201502.515625,0.0,30.808845607041178,0.0,,273564,-4196.966056736709,4258.583747950791,-2787.7077559554587,2849.3254471695413,0.0,0.0,"{""statistic"": 105463.84140580893, ""critical_values"": [0.576, 0.656, 0.787, 0.918, 1.092], ""significance_level"": [15.0, 10.0, 5.0, 2.5, 1.0]}","{""statistic"": NaN, ""critical_values"": [0.576, 0.656, 0.787, 0.918, 1.092], ""significance_level"": [15.0, 10.0, 5.0, 2.5, 1.0]}",3.272147859765978,"{""statistic"": Infinity, ""critical_values"": [0.922, 1.078, 1.341, 1.606, 1.957], ""significance_level"": [15.0, 10.0, 5.0, 2.5, 1.0]}"
SCD_INTRO_EP_IP_ID,0.9856419866078696,0.0037333005343105513,0.00020258219953623146,999117.0,14.0,61964.93222474175,,,0,-617213.7396502582,741143.6040997418,-390820.84902525827,514750.71347474173,-8135.0,22041.0,"{""statistic"": NaN, ""critical_values"": [0.576, 0.656, 0.787, 0.918, 1.092], ""significance_level"": [15.0, 10.0, 5.0, 2.5, 1.0]}","{""statistic"": NaN, ""critical_values"": [0.576, 0.656, 0.787, 0.918, 1.092], ""significance_level"": [15.0, 10.0, 5.0, 2.5, 1.0]}",,"{""statistic"": NaN, ""critical_values"": [0.922, 1.078, 1.341, 1.606, 1.957], ""significance_level"": [15.0, 10.0, 5.0, 2.5, 1.0]}"
FST_INTRO_NM,0.00018449450314906793,0.012002995322521715,0.004666625667888189,,,,,台诊分少,,,,,,,,,,,
FST_OD_AMT,0.0,0.01063194793637472,0.986991328758352,502389.4375,0.0,93.94478188046926,0.0,,272835,-8915.773723978906,9103.663287739844,-5912.534222025781,6100.423785786719,0.0,0.0,"{""statistic"": 105413.72756429412, ""critical_values"": [0.576, 0.656, 0.787, 0.918, 1.092], ""significance_level"": [15.0, 10.0, 5.0, 2.5, 1.0]}","{""statistic"": NaN, ""critical_values"": [0.576, 0.656, 0.787, 0.918, 1.092], ""significance_level"": [15.0, 10.0, 5.0, 2.5, 1.0]}",3.1159953647717056,"{""statistic"": Infinity, ""critical_values"": [0.922, 1.078, 1.341, 1.606, 1.957], ""significance_level"": [15.0, 10.0, 5.0, 2.5, 1.0]}"
CC_VLD_IND,0.0,7.23507855486541e-06,0.6989664690284375,1,0,0.30103353097156255,0.0,,193216,-1.0750907179319518,1.677157779875077,-0.6163826349641137,1.2184496969072387,-1.5,2.5,"{""statistic"": 60220.58726837905, ""critical_values"": [0.576, 0.656, 0.787, 0.918, 1.092], ""significance_level"": [15.0, 10.0, 5.0, 2.5, 1.0]}","{""statistic"": NaN, ""critical_values"": [0.576, 0.656, 0.787, 0.918, 1.092], ""significance_level"": [15.0, 10.0, 5.0, 2.5, 1.0]}",0.38138551715478497,"{""statistic"": Infinity, ""critical_values"": [0.922, 1.078, 1.341, 1.606, 1.957], ""significance_level"": [15.0, 10.0, 5.0, 2.5, 1.0]}"
